year,paper,question,topic,marks
2013,GS1,Chola architecture represents a high watermark in the evolution of temple architecture. Discuss.,Architecture,5
2013,GS1,Discuss the Tandava dance as recorded in the early Indian inscriptions.,Dance,5
2013,GS1,"Though not very useful from the point of view of a connected political history of South India, the Sangam literature portrays the social and economic conditions of its time with remarkable vividness. Comment.",Literature,10
2014,GS1,Sufis and medieval mystic saints failed to modify either the religious ideas and practices or the outward structure of Hindu / Muslim societies to any appreciable extent. Comment.,Religious practice,10
2014,GS1,"Taxila university was one of the oldest universities of the world with which were associated a number of renowned learned personalities of different disciplines. Its strategic location caused its fame to flourish, but unlike Nalanda, it is not considered as a university in the modern sense. Discuss.",University,10
2014,GS1,Gandhara sculpture owed as much to the Romans as to the Greeks. Explain.,Sculpture,10
2014,GS1,To what extent has the urban planning and culture of the Indus Valley Civilization provided inputs to the present day urbanization? Discuss.,Civilisation,10
2015,GS1,Mesolithic rock cut architecture of India not only reflects the cultural life of the times but also a fine aesthetic sense comparable to modern painting. Critically evaluate this comment.,Architecture,12.5
2015,GS1,"The ancient civilization in Indian sub-continent differed from those of Egypt, Mesopotamia and Greece in that its culture and traditions have been preserved without a breakdown to the present day. Comment.",Civilisation,12.5
2016,GS1,"Krishnadeva Raya, the King of Vijayanagar, was not only an accomplished scholar himself but was also a great patron of learning and literature. Discuss.",Individual,12.5
2016,GS1,"Early Buddhist Stupa-art, while depicting folk motifs and narratives successfully expounds Buddhist ideals. Elucidate",Buddhism,12.5
2017,GS1,How do you justify the view that the level of excellence of Gupta numismatic art is not at all noticeable in later times?,Numismatic,10
2018,GS1,The Bhakti movement received a remarkable re-orientation with the advent of Sri Chaitanya Mahaprabhu. Discuss.,Individual,15
2018,GS1,Assess the importance of the accounts of the Chinese and Arab travellers in the reconstruction of the history of India.,Traveller's Account,10
2018,GS1,Safeguarding the Indian art heritage is the need of the moment. Discuss.,Misc,10
2019,GS1,Highlight the Central Asian and Greco -Bactrian elements in Gandhara art.,Influence of art,10
2020,GS1,Persian literary sources of medieval India reflect the spirit of the age. Comment.,Literature,15
2020,GS1,Indian philosophy and tradition played a significant role in conceiving and shaping the monuments and their art in India. Discuss.,Philosophy,15
2020,GS1,Pala period is the most significant phase in the history of Buddhism in India. Enumerate.,Buddhism,10
2020,GS1,The rock-cut architecture represents one of the most important sources of our knowledge of early Indian art and history. Discuss.,Architecture,10
2021,GS1,Evaluate the nature of the Bhakti literature and its contribution to Indian culture.,Literature,10
2022,GS1,How will you explain that medieval Indian temple sculptures represent the social life of those days?,Sculpture,10
2022,GS1,Discuss the main contributions of Gupta period and Chola period to Indian heritage and culture.,Contribution,15
2022,GS1,"Discuss the significance of the lion and bull figures in Indian mythology, art and architecture.",Architecture,15
2023,GS1,Explain the role of geographical factors towards the development of Ancient India.,Civilisation,10
2023,GS1,What were the major technological changes introduced during the Sultanate period? How did those technological changes influence the Indian society ?,Technology,15
2013,GS1,"In many ways, Lord Dalhousie was the founder of modern India. Elaborate.",Personality,10
2013,GS1,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.,Movements,10
2013,GS1,"Defying the barriers of age, gender and religion, the Indian women became the torch bearer during the struggle for freedom in India. Discuss.",Women,10
2014,GS1,In what ways did the naval mutiny prove to be the last nail in the coffin of British colonial aspirations in India?,Event,10
2014,GS1,Examine critically the various facets of economic policies of the British in India from mid- eighteenth century till independence.,Policies,10
2014,GS1,The third battle of Panipat was fought in 1761. Why were so many empire-shaking battles fought at Panipat?,Event,10
2015,GS1,"It would have been difficult for the Constituent Assembly to complete its historic task of drafting the Constitution for Independent India in just three years but for the experience gained with the Government of India Act, 1935. Discuss.",Policies,12.5
2015,GS1,How different would have been the achievement of Indian independence without Mahatma Gandhi? Discuss.,Personality,12.5
2016,GS1,Highlight the differences in the approach of Subhash Chandra Bose and Mahatma Gandhi in the struggle for freedom.,Comparison Personality,12.5
2016,GS1,Discuss the role of women in the freedom struggle especially during the Gandhian phase.,Women,12.5
2016,GS1,Explain how the Uprising of 1857 constitutes an important watershed in the evolution of British policies towards colonial India.,Event,12.5
2017,GS1,Highlight the importance of the new objectives that got added to the vision of Indian independence since twenties of the last century.,Event,15
2017,GS1,The women’s questions arose in modern India as a part of the 19th century social reform movement. What were the major issues and debates concerning women in that period?,Women,15
2017,GS1,Examine how the decline of traditional artisanal industry in colonial India crippled the rural economy.,Issues,15
2017,GS1,Why did the ‘Moderates’ fail to carry conviction with the nation about their proclaimed ideology and political goals by the end of the nineteenth century?,Contribution,10
2017,GS1,Clarify how mid-eighteenth century India was beset with the spectre of a fragmented polity.,Policies,10
2018,GS1,Throw light on the significance of the thoughts of Mahatma Gandhi in the present times.,Personality,10
2019,GS1,Assess the role of British imperial power in complicating the process of transfer of power during the 1940s.,Policies,10
2019,GS1,Many voices had strengthened and enriched the nationalist movement during the Gandhian phase. Elaborate.,Contribution,15
2019,GS1,Examine the linkages between 19th centuries ‘Indian Renaissance’ and the emergence of national identity.,Event,10
2019,GS1,The 1857 Uprising was the culmination the recurrent big and small local rebellions that had occurred in the preceding hundred years of British rule. Elucidate.,Contribution,10
2020,GS1,"Since the decade of the 1920s, the national movement acquired various ideological strands and thereby expanded its social base. Discuss.",Event,15
2020,GS1,Evaluate the policies of Lord Curzon and their long term implications on the national movement.,Policies,10
2021,GS1,Trace the rise and growth of socio--religious reform movements with special reference to young Bengal and Brahmo Samaj.,Event,10
2013,GS1,Critically discuss the objectives of Bhoodan and Gramdan movements initiated by Acharya Vinoba Bhave and their success.,Movements,10
2013,GS1,Write a critical note on the evolution and significance of the slogan “Jai Jawana Jai Kisan”.,Movements,10
2013,GS1,Discuss the contribution of Maulana Abul Kalam Azad to pre-and post-independent India.,Contribution,10
2013,GS1,Analyze the circumstances that led to Tashkent Agreement in 1966. Discuss the highlights of the agreement.,Agreements,10
2013,GS1,Critically examine the compulsions which prompted India to play a decisive roles in the emergence of Bangladesh.,Event,10
2021,GS1,Access the main administrative issues and socio –cultural problems in the integration process of Indian princely states.,Consolidation,10
2022,GS1,The political and administrative reorganization of states and territories has been a continuous ongoing process since the mid-nineteenth century. Discuss with examples.,Reorganisation,15
2013,GS1,What policy instruments were deployed to contain the great economic depression?,Event,10
2013,GS1,American Revolution was an economic revolt against mercantilism. Substantiate.,American Revolution,10
2013,GS1,Africa was chopped into states artificially created by accident of European competition. Analyse.,Colonisation,10
2013,GS1,“Latecomer” Industrial revolution in Japan involved certain factors that were markedly different from what west had experience.,Industrial Revolution.,10
2014,GS1,The New Economic Policy – 1921 of Lenin had influenced the policies adopted by India soon after independence. Evaluate.,Effect Policy,10
2014,GS1,What were the events that led to the Suez Crisis in 1956? How did it deal a final blow to Britain’s self-image as a world power?,Event,10
2014,GS1,"What were the major political, economic and social developments in the world which motivated the anti-colonial struggle in India?",Decolonisation,10
2015,GS1,To what extent can Germany be held responsible for causing the two World Wars? Discuss critically,WW,12.5
2015,GS1,Why did the industrial revolution first occur in England? Discuss the quality of life of the people there during the industrialization. How does it compare with that in India at present?,Industrial Revolution.,12.5
2016,GS1,The anti-colonial struggles in West Africa were led by the new elite of Western-educated Africans. Examine.,Decolonisation,12.5
2017,GS1,What problems were germane to the decolonization process of Malay Peninsula.,Decolonisation,10
2018,GS1,Why indentured labour was taken by the British from India to other colonies? Have they been able to preserve their cultural identity over there?,Colonisation,15
2013,GS1,Growing feeling of regionalism is an important factor in the generation of demand for a separate state. Discuss.,Regionalism,10
2014,GS1,How do the Indian debates on secularism differ from the debates in the West?,Secularism,10
2015,GS1,Debate the issue of whether and how contemporary movements for assertion of Dalit identity work towards annihilation of caste.,Caste,12.5
2015,GS1,Describe any four cultural elements of diversity in India and rate their relative significance in building a national identity.,Diversity,12.5
2015,GS1,"Mahatma Gandhi and Dr. B.R. Ambedkar, despite having divergent approaches and strategies, had a common goal of amelioration of the downtrodden. Elucidate.",Caste,12.5
2016,GS1,What is the basis of regionalism? Is it that unequal distribution of benefits of development on regional basis eventually promotes regionalism? Substantiate your answer.,Regionalism,12.5
2016,GS1,Why are the tribals in India referred to as the Scheduled Tribes? Indicate the major provisions enshrined in the Constitution of India for their upliftment.,Empowerment,12.5
2016,GS1,Has the formation of linguistic States strengthened the cause of Indian Unity?,Unity,12.5
2017,GS1,"What are the two major legal initiatives by the State since Independence, addressing discrimination against Scheduled Tribes (STs)?",Empowerment,10
2017,GS1,"In the context of diversity of India, can it be said that the regions form cultural units rather than the States? Give reasons with examples for your viewpoint.",Diversity,10
2017,GS1,Distinguish between religiousness/religiosity and communalism giving one example of how the former has got transformed into the latter in independent India.,Communalism,15
2017,GS1,"The spirit tolerance and love is not only an interesting feature of Indian society from very early times, but it is also playing an important part at the present. Elaborate.",Unity,15
2018,GS1,‘Communalism arises either due to power struggle or relative deprivation. Argue by giving suitable illustrations.,Communalism,15
2018,GS1,How the Indian concept of secularism is different from the western model of secularism? Discuss.,Secularism,10
2018,GS1,"“Caste system is assuming new identities and associational forms. Hence, caste system cannot be eradicated in India.” Comment.",Caste,10
2019,GS1,What are the challenges to our cultural practices in the name of secularism.,Secularism,10
2019,GS1,Do we have cultural pockets of small India all over the nation? Elaborate with examples.,Unity,15
2019,GS1,What makes Indian society unique in sustaining its culture? Discuss.,Tradition,10
2020,GS1,Customs and traditions suppress reason leading to obscurantism. Do you agree?,Tradition,15
2020,GS1,Do you agree that regionalism in India appears to be a consequence of rising cultural assertiveness? Argue.,Regionalism,10
2020,GS1,Is diversity and pluralism in India under threat due to globalisation? Justify your answer.,Diversity,15
2020,GS1,Has caste lost its relevance in understanding the multi-cultural Indian Society? Elaborate your answer with illustrations.,Caste,10
2021,GS1,Examine the uniqueness of tribal knowledge system when compared with mainstream knowledge and cultural systems.,Tribal,10
2021,GS1,How does Indian Society maintain continuity in traditional social values? Enumerate the changes taking place in it.,Tradition,15
2022,GS1,"Given the diversities among tribal communities in India, in which specific contexts should they be considered as a single category?",Tribal,10
2022,GS1,"Analyse the salience of ‘sect’ in Indian society vis-a-vis caste, region and religion.",Caste,15
2014,GS1,The life cycle of a joint family depends on economic factors rather than social values. Discuss.,Family,10
2015,GS1,Discuss the changes in the trends of labour migration within and outside India in the last four decades.,Development issues,12.5
2015,GS1,Critically examine whether growing population is the cause of poverty OR poverty is the main cause of population increase in India.,Population,12.5
2016,GS1,“An essential condition to eradicate poverty is to liberate the poor from deprivation.” Substantiate this statement with suitable examples,Poverty,12.5
2018,GS1,"Mention core strategies for the transformation of aspirational districts in India and explain the nature of convergence, collaboration and competition for its success.",Development issues,15
2018,GS1,Discuss whether formation of new states in recent times is beneficial or not for the economy of India.,Development issues,15
2018,GS1,"‘Despite implementation of various programmes for eradication of poverty by the government in India, poverty is still existing.’ Explain by giving reasons.",Poverty,10
2020,GS1,How have digital initiatives in India contributed to the functioning of the educational system in the country? Elaborate your answer.,Development issues,15
2020,GS1,COVID-19 pandemic accelerated class inequalities and poverty in India. Comment.,Poverty,10
2021,GS1,Discuss the main objectives of Population Education and point out the measures to achieve them in India in detail.,Population,15
2021,GS1,What is Cryptocurrency? How does it affect global security? Has it been affecting Indian society also?,Development issues,15
2023,GS1,Child cuddling is now being replaced by mobile phones. Discuss its impact on the socialization of children.,Family,10
2023,GS1,Why did human development fail to keep pace with economic development in India?,Development issues,15
2013,GS1,Discussion the various social problems which originated out of the speedy process of urbanization in India.,Social Problems,10
2015,GS1,Smart cities in India cannot sustain without smart villages. Discuss this statement in the backdrop of rural urban integration.,Integration,12.5
2015,GS1,"Mumbai, Delhi and Kolkata are the three mega cities of the country but the air pollution is much more serious problem in Delhi as compared to the other two. Why is this so?",Pollution,12.5
2016,GS1,Major cities of India are becoming more vulnerable to flood conditions. Discuss.,Flood,12.5
2016,GS1,"With a brief background of quality of urban life in India, introduce the objectives and strategy of the ‘Smart City Programme’.",Programme,12.5
2017,GS1,The growth of cities as I.T. hubs has opened up new avenues employment but has also created new problems. Substantiate this statement with examples. Urbanization,Social Problems,15
2018,GS1,“The ideal solution of depleting ground water resources in India is water harvesting system.” How can it be made effective in urban areas?,Resource,15
2019,GS1,How is efficient and affordable urban mass transport key to the rapid economic development of India?,Transport,15
2020,GS1,Account for the huge flooding of million cities in India including the smart ones like Hyderabad and Pune. Suggest lasting remedial measures.,Flood,15
2021,GS1,What are the main socio-economic implications arising out of development of IT industries in major cities of India,Social Problems,15
2013,GS1,Critically examine the effects of globalization on the aged population in India.,Aged,10
2016,GS1,To what extent globalization has influenced the core of cultural diversity in India? Explain.,Culture,12.5
2015,GS1,Discuss the positive and negative effects of globalization on women in India.,Women,12.5
2018,GS1,‘Globalization is generally said to promote cultural homogenization but due to this cultural specificities appear to be strengthened in the Indian Society. Elucidate.,Culture,15
2019,GS1,Are we losing our local identity for the global identity? Discuss.,Identity,15
2022,GS1,Explore and evaluate the impact of ‘Work From Home’ on family relationships.,Relationship,10
2022,GS1,"Elucidate the relationship between globalization and new technology in a world of scarce resources, with special reference to India.",Technology,15
2013,GS1,Male membership needs to be encouraged in order to make women’s organization free from gender bias. Comment.,Bias,10
2014,GS1,Why do some of the most prosperous regions of India have an adverse sex ratio for women? Give your arguments.,Sex ratio,10
2014,GS1,Discuss the various economic and socio-cultural forces that are driving increasing feminization of agriculture in India.,Feminization,10
2014,GS1,How does patriarchy impact the position of a middle class working woman in India?,Work,10
2015,GS1,How do you explain the statistics that show that the sex ratio in Tribes in India is more favourable to women than the sex ratio among Scheduled Castes?,Sex ratio,12.5
2018,GS1,‘Women’s movement in India has not addressed the issues of women of lower social strata. Substantiate your view.,Movements,15
2019,GS1,What are the continued challenges for women in India against time and space?,Challenges,15
2019,GS1,“Empowering women is the key to control population growth”. Discuss,Empowerment,10
2021,GS1,Examine the role of ‘Gig Economy’ in the process of empowerment of women in India.,Work,10
2023,GS1,Explain why suicide among young women is increasing in Indian society.,Suicide,10
2013,GS1,Bring out the causes for more frequent landslides in the Himalayas than in Western Ghats,Landslide,5
2013,GS1,Major hot deserts in northern hemisphere are located between 20-30 degree north and on the western side of the continents. Why?,Phenomena,10
2013,GS1,There is no formation of deltas by rivers of the Western Ghat. Why?,Phenomena,5
2013,GS1,The recent cyclone on the east coast of India was called “Phailin”. How are the tropical cyclones named across the world?,Cyclone,5
2013,GS1,What do you understand by the theory of continental drift? Discuss the prominent evidences in its support.,Concept,5
2014,GS1,Why are the world’s fold mountain systems located along the margins of continents? Bring out the association between the global distribution of Fold Mountains and the earthquakes and volcanoes.,Phenomena,10
2013,GS1,W
